State,Year,Quarter,Pincode,No_of_Regusers
andaman-&-nicobar-islands,2021,4,744205,1902
andaman-&-nicobar-islands,2022,1,744103,15011
andaman-&-nicobar-islands,2022,1,744105,13070
andaman-&-nicobar-islands,2022,1,744101,12300
andaman-&-nicobar-islands,2022,1,744102,8271
andaman-&-nicobar-islands,2022,1,744202,4107
andaman-&-nicobar-islands,2022,1,744107,3455
andaman-&-nicobar-islands,2022,1,744104,3146
andaman-&-nicobar-islands,2022,1,744112,2552
andaman-&-nicobar-islands,2022,1,744211,2344
andaman-&-nicobar-islands,2022,1,744205,2034
andaman-&-nicobar-islands,2022,2,744103,15799
andaman-&-nicobar-islands,2022,2,744105,13791
andaman-&-nicobar-islands,2022,2,744101,12947
andaman-&-nicobar-islands,2022,2,744102,8709
andaman-&-nicobar-islands,2022,2,744202,4361
andaman-&-nicobar-islands,2022,2,744107,3674
andaman-&-nicobar-islands,2022,2,744104,3319
andaman-&-nicobar-islands,2022,2,744112,2700
andaman-&-nicobar-islands,2022,2,744211,2471
andaman-&-nicobar-islands,2022,2,744205,2162
andaman-&-nicobar-islands,2022,3,744103,16666
andaman-&-nicobar-islands,2022,3,744105,14503
andaman-&-nicobar-islands,2022,3,744101,13649
andaman-&-nicobar-islands,2022,3,744102,9148
andaman-&-nicobar-islands,2022,3,744202,4572
andaman-&-nicobar-islands,2022,3,744107,3868
andaman-&-nicobar-islands,2022,3,744104,3493
andaman-&-nicobar-islands,2022,3,744112,2837
andaman-&-nicobar-islands,2022,3,744211,2577
andaman-&-nicobar-islands,2022,3,744205,2268
andaman-&-nicobar-islands,2022,4,744103,17406
andaman-&-nicobar-islands,2022,4,744105,15185
andaman-&-nicobar-islands,2022,4,744101,14337
andaman-&-nicobar-islands,2022,4,744102,9591
andaman-&-nicobar-islands,2022,4,744202,4760
andaman-&-nicobar-islands,2022,4,744107,4051
andaman-&-nicobar-islands,2022,4,744104,3647
andaman-&-nicobar-islands,2022,4,744112,2975
andaman-&-nicobar-islands,2022,4,744211,2679
andaman-&-nicobar-islands,2022,4,744205,2358
andhra-pradesh,2018,1,517501,39884
andhra-pradesh,2018,1,530016,34201
andhra-pradesh,2018,1,517507,34111
andhra-pradesh,2018,1,515001,31964
andhra-pradesh,2018,1,516001,29078
andhra-pradesh,2018,1,518002,29043
andhra-pradesh,2018,1,530026,26889
andhra-pradesh,2018,1,516360,26187
andhra-pradesh,2018,1,520010,24397
andhra-pradesh,2018,1,524002,23439
andhra-pradesh,2018,2,517501,53468
andhra-pradesh,2018,2,517507,45241
andhra-pradesh,2018,2,530016,43386
andhra-pradesh,2018,2,515001,42466
andhra-pradesh,2018,2,516001,38402
andhra-pradesh,2018,2,518002,37593
andhra-pradesh,2018,2,516360,34544
andhra-pradesh,2018,2,530026,34126
andhra-pradesh,2018,2,520010,31871
andhra-pradesh,2018,2,524002,31134
andhra-pradesh,2018,3,517501,65157
andhra-pradesh,2018,3,517507,54849
andhra-pradesh,2018,3,530016,52259
andhra-pradesh,2018,3,515001,51449
andhra-pradesh,2018,3,516001,46691
andhra-pradesh,2018,3,518002,45145
andhra-pradesh,2018,3,516360,41963
andhra-pradesh,2018,3,530026,40580
andhra-pradesh,2018,3,520010,38918
andhra-pradesh,2018,3,524002,37559
andhra-pradesh,2018,4,517501,82873
andhra-pradesh,2018,4,517507,70421
andhra-pradesh,2018,4,530016,65549
andhra-pradesh,2018,4,515001,63576
andhra-pradesh,2018,4,516001,58028
andhra-pradesh,2018,4,518002,55735
andhra-pradesh,2018,4,516360,52058
andhra-pradesh,2018,4,530026,51900
andhra-pradesh,2018,4,520010,48991
andhra-pradesh,2018,4,524002,46616
andhra-pradesh,2019,1,517501,100561
andhra-pradesh,2019,1,517507,85980
andhra-pradesh,2019,1,530016,77790
andhra-pradesh,2019,1,515001,75171
andhra-pradesh,2019,1,516001,68514
andhra-pradesh,2019,1,518002,66689
andhra-pradesh,2019,1,530026,61623
andhra-pradesh,2019,1,516360,60798
andhra-pradesh,2019,1,520010,59055
andhra-pradesh,2019,1,524002,55931
andhra-pradesh,2019,2,517501,113033
andhra-pradesh,2019,2,517507,97534
andhra-pradesh,2019,2,530016,87556
andhra-pradesh,2019,2,515001,84157
andhra-pradesh,2019,2,516001,76617
andhra-pradesh,2019,2,518002,75952
andhra-pradesh,2019,2,530026,68283
andhra-pradesh,2019,2,516360,66885
andhra-pradesh,2019,2,520010,66082
andhra-pradesh,2019,2,524002,62933
andhra-pradesh,2019,3,517501,124727
andhra-pradesh,2019,3,517507,108199
andhra-pradesh,2019,3,530016,97323
andhra-pradesh,2019,3,515001,93191
andhra-pradesh,2019,3,518002,84918
andhra-pradesh,2019,3,516001,84693
andhra-pradesh,2019,3,530026,74501
andhra-pradesh,2019,3,516360,73267
andhra-pradesh,2019,3,520010,72722
andhra-pradesh,2019,3,524002,69783
andhra-pradesh,2019,4,517501,136436
andhra-pradesh,2019,4,517507,119146
andhra-pradesh,2019,4,530016,106404
andhra-pradesh,2019,4,515001,102848
andhra-pradesh,2019,4,516001,94209
andhra-pradesh,2019,4,518002,94193
andhra-pradesh,2019,4,516360,81619
andhra-pradesh,2019,4,530026,81191
andhra-pradesh,2019,4,520010,79453
andhra-pradesh,2019,4,524002,77681
andhra-pradesh,2020,1,517501,146823
andhra-pradesh,2020,1,517507,129214
andhra-pradesh,2020,1,530016,114042
andhra-pradesh,2020,1,515001,111359
andhra-pradesh,2020,1,518002,102905
andhra-pradesh,2020,1,516001,102893
andhra-pradesh,2020,1,516360,89774
andhra-pradesh,2020,1,530026,87449
andhra-pradesh,2020,1,524002,85878
andhra-pradesh,2020,1,520010,85779
andhra-pradesh,2020,2,517501,156221
andhra-pradesh,2020,2,517507,138735
andhra-pradesh,2020,2,530016,120621
andhra-pradesh,2020,2,515001,119223
andhra-pradesh,2020,2,518002,112673
andhra-pradesh,2020,2,516001,111898
andhra-pradesh,2020,2,516360,98803
andhra-pradesh,2020,2,524002,93834
andhra-pradesh,2020,2,530026,93224
andhra-pradesh,2020,2,520010,91299
andhra-pradesh,2020,3,517501,166768
andhra-pradesh,2020,3,517507,149001
andhra-pradesh,2020,3,515001,128227
andhra-pradesh,2020,3,530016,128059
andhra-pradesh,2020,3,518002,121529
andhra-pradesh,2020,3,516001,120997
andhra-pradesh,2020,3,516360,108073
andhra-pradesh,2020,3,524002,102103
andhra-pradesh,2020,3,530026,99754
andhra-pradesh,2020,3,520010,97752
andhra-pradesh,2020,4,517501,178328
andhra-pradesh,2020,4,517507,160062
andhra-pradesh,2020,4,515001,137945
andhra-pradesh,2020,4,530016,136049
andhra-pradesh,2020,4,518002,130871
andhra-pradesh,2020,4,516001,130500
andhra-pradesh,2020,4,516360,117397
andhra-pradesh,2020,4,524002,110746
andhra-pradesh,2020,4,530026,106320
andhra-pradesh,2020,4,520010,104956
andhra-pradesh,2021,1,517501,190712
andhra-pradesh,2021,1,517507,171417
andhra-pradesh,2021,1,515001,147941
andhra-pradesh,2021,1,530016,145206
andhra-pradesh,2021,1,518002,140153
andhra-pradesh,2021,1,516001,139840
andhra-pradesh,2021,1,516360,126260
andhra-pradesh,2021,1,524002,118730
andhra-pradesh,2021,1,530026,113581
andhra-pradesh,2021,1,520010,112324
andhra-pradesh,2021,2,517501,203005
andhra-pradesh,2021,2,517507,182425
andhra-pradesh,2021,2,515001,157649
andhra-pradesh,2021,2,530016,154509
andhra-pradesh,2021,2,518002,149368
andhra-pradesh,2021,2,516001,148851
andhra-pradesh,2021,2,516360,134622
andhra-pradesh,2021,2,524002,126459
andhra-pradesh,2021,2,530026,120973
andhra-pradesh,2021,2,520010,119561
andhra-pradesh,2021,3,517501,216777
andhra-pradesh,2021,3,517507,194860
andhra-pradesh,2021,3,515001,168654
andhra-pradesh,2021,3,530016,164812
andhra-pradesh,2021,3,518002,159802
andhra-pradesh,2021,3,516001,158891
andhra-pradesh,2021,3,516360,144068
andhra-pradesh,2021,3,524002,135136
andhra-pradesh,2021,3,530026,129270
andhra-pradesh,2021,3,520010,127618
andhra-pradesh,2021,4,517501,230688
andhra-pradesh,2021,4,517507,207174
andhra-pradesh,2021,4,515001,179763
andhra-pradesh,2021,4,530016,175300
andhra-pradesh,2021,4,518002,170267
andhra-pradesh,2021,4,516001,169158
andhra-pradesh,2021,4,516360,153381
andhra-pradesh,2021,4,524002,143764
andhra-pradesh,2021,4,530026,137812
andhra-pradesh,2021,4,520010,135719
andhra-pradesh,2022,1,517501,243791
andhra-pradesh,2022,1,517507,218905
andhra-pradesh,2022,1,515001,190203
andhra-pradesh,2022,1,530016,185094
andhra-pradesh,2022,1,518002,180102
andhra-pradesh,2022,1,516001,179007
andhra-pradesh,2022,1,516360,162263
andhra-pradesh,2022,1,524002,151939
andhra-pradesh,2022,1,530026,145842
andhra-pradesh,2022,1,520010,143308
andhra-pradesh,2022,2,517501,256290
andhra-pradesh,2022,2,517507,229983
andhra-pradesh,2022,2,515001,200266
andhra-pradesh,2022,2,530016,194513
andhra-pradesh,2022,2,518002,189505
andhra-pradesh,2022,2,516001,188295
andhra-pradesh,2022,2,516360,170855
andhra-pradesh,2022,2,524002,159834
andhra-pradesh,2022,2,530026,153586
andhra-pradesh,2022,2,520010,150546
andhra-pradesh,2022,3,517501,269370
andhra-pradesh,2022,3,517507,241720
andhra-pradesh,2022,3,515001,210661
andhra-pradesh,2022,3,530016,204230
andhra-pradesh,2022,3,518002,199354
andhra-pradesh,2022,3,516001,197910
andhra-pradesh,2022,3,516360,179806
andhra-pradesh,2022,3,524002,168015
andhra-pradesh,2022,3,530026,161715
andhra-pradesh,2022,3,520010,158071
andhra-pradesh,2022,4,517501,282766
andhra-pradesh,2022,4,517507,253314
andhra-pradesh,2022,4,515001,221328
andhra-pradesh,2022,4,530016,214155
andhra-pradesh,2022,4,518002,209376
andhra-pradesh,2022,4,516001,207725
andhra-pradesh,2022,4,516360,188768
andhra-pradesh,2022,4,524002,176415
andhra-pradesh,2022,4,530026,169957
andhra-pradesh,2022,4,520010,165734
arunachal-pradesh,2018,1,791110,2316
arunachal-pradesh,2018,1,791111,2203
arunachal-pradesh,2018,1,791113,1475
arunachal-pradesh,2018,1,791102,1471
arunachal-pradesh,2018,1,790104,1139
arunachal-pradesh,2018,1,791001,969
arunachal-pradesh,2018,1,791109,857
arunachal-pradesh,2018,1,792103,829
arunachal-pradesh,2018,1,792001,828
arunachal-pradesh,2018,1,790116,766
arunachal-pradesh,2018,2,791110,3488
arunachal-pradesh,2018,2,791111,3272
arunachal-pradesh,2018,2,791113,2219
arunachal-pradesh,2018,2,791102,2212
arunachal-pradesh,2018,2,790104,1698
arunachal-pradesh,2018,2,792103,1457
arunachal-pradesh,2018,2,791001,1421
arunachal-pradesh,2018,2,792001,1315
arunachal-pradesh,2018,2,791109,1231
arunachal-pradesh,2018,2,790116,1213
arunachal-pradesh,2018,3,791110,4872
arunachal-pradesh,2018,3,791111,4610
arunachal-pradesh,2018,3,791113,3178
arunachal-pradesh,2018,3,791102,3077
arunachal-pradesh,2018,3,790104,2328
arunachal-pradesh,2018,3,792103,2067
arunachal-pradesh,2018,3,791001,1907
arunachal-pradesh,2018,3,792001,1819
arunachal-pradesh,2018,3,790116,1623
arunachal-pradesh,2018,3,791109,1612
arunachal-pradesh,2018,4,791110,6599
arunachal-pradesh,2018,4,791111,6225
arunachal-pradesh,2018,4,791113,4115
arunachal-pradesh,2018,4,791102,4109
arunachal-pradesh,2018,4,790104,3034
arunachal-pradesh,2018,4,792103,2741
arunachal-pradesh,2018,4,792001,2577
arunachal-pradesh,2018,4,791001,2444
arunachal-pradesh,2018,4,790116,2206
arunachal-pradesh,2018,4,791109,2071
arunachal-pradesh,2019,1,791110,8094
arunachal-pradesh,2019,1,791111,7673
arunachal-pradesh,2019,1,791113,5140
arunachal-pradesh,2019,1,791102,5030
arunachal-pradesh,2019,1,790104,3751
arunachal-pradesh,2019,1,792103,3477
arunachal-pradesh,2019,1,792001,3160
arunachal-pradesh,2019,1,791001,3103
arunachal-pradesh,2019,1,790116,2798
arunachal-pradesh,2019,1,791109,2519
arunachal-pradesh,2019,2,791110,10055
arunachal-pradesh,2019,2,791111,9597
arunachal-pradesh,2019,2,791113,6418
arunachal-pradesh,2019,2,791102,6283
arunachal-pradesh,2019,2,790104,4437
arunachal-pradesh,2019,2,792103,4369
arunachal-pradesh,2019,2,791001,3960
arunachal-pradesh,2019,2,792001,3918
arunachal-pradesh,2019,2,790116,3335
arunachal-pradesh,2019,2,791109,3151
arunachal-pradesh,2019,3,791110,11834
arunachal-pradesh,2019,3,791111,11464
arunachal-pradesh,2019,3,791113,7593
arunachal-pradesh,2019,3,791102,7308
arunachal-pradesh,2019,3,792103,5172
arunachal-pradesh,2019,3,790104,4964
arunachal-pradesh,2019,3,791001,4733
arunachal-pradesh,2019,3,792001,4605
arunachal-pradesh,2019,3,791109,3715
arunachal-pradesh,2019,3,790116,3709
arunachal-pradesh,2019,4,791110,13737
arunachal-pradesh,2019,4,791111,13109
arunachal-pradesh,2019,4,791113,8753
arunachal-pradesh,2019,4,791102,8369
arunachal-pradesh,2019,4,792103,5974
arunachal-pradesh,2019,4,790104,5523
arunachal-pradesh,2019,4,791001,5499
arunachal-pradesh,2019,4,792001,5268
arunachal-pradesh,2019,4,791109,4216
arunachal-pradesh,2019,4,790116,4071
arunachal-pradesh,2020,1,791110,15867
arunachal-pradesh,2020,1,791111,14888
arunachal-pradesh,2020,1,791113,10049
arunachal-pradesh,2020,1,791102,9584
arunachal-pradesh,2020,1,792103,6949
arunachal-pradesh,2020,1,791001,6631
arunachal-pradesh,2020,1,790104,6108
arunachal-pradesh,2020,1,792001,6044
arunachal-pradesh,2020,1,791109,4808
arunachal-pradesh,2020,1,792110,4690
arunachal-pradesh,2020,2,791110,18699
arunachal-pradesh,2020,2,791111,17137
arunachal-pradesh,2020,2,791113,11777
arunachal-pradesh,2020,2,791102,11547
arunachal-pradesh,2020,2,792103,8648
arunachal-pradesh,2020,2,791001,8304
arunachal-pradesh,2020,2,792001,7106
arunachal-pradesh,2020,2,790104,6860
arunachal-pradesh,2020,2,792110,5825
arunachal-pradesh,2020,2,791109,5521
arunachal-pradesh,2020,3,791110,21772
arunachal-pradesh,2020,3,791111,19597
arunachal-pradesh,2020,3,791113,13723
arunachal-pradesh,2020,3,791102,13422
arunachal-pradesh,2020,3,792103,9996
arunachal-pradesh,2020,3,791001,9880
arunachal-pradesh,2020,3,792001,8196
arunachal-pradesh,2020,3,790104,7622
arunachal-pradesh,2020,3,792110,6844
arunachal-pradesh,2020,3,791109,6404
arunachal-pradesh,2020,4,791110,24414
arunachal-pradesh,2020,4,791111,21845
arunachal-pradesh,2020,4,791113,15540
arunachal-pradesh,2020,4,791102,14955
arunachal-pradesh,2020,4,791001,11382
arunachal-pradesh,2020,4,792103,10964
arunachal-pradesh,2020,4,792001,9130
arunachal-pradesh,2020,4,790104,8391
arunachal-pradesh,2020,4,792110,7743
arunachal-pradesh,2020,4,791109,7262
arunachal-pradesh,2021,1,791110,26578
arunachal-pradesh,2021,1,791111,23660
arunachal-pradesh,2021,1,791113,16942
arunachal-pradesh,2021,1,791102,16191
arunachal-pradesh,2021,1,791001,12442
arunachal-pradesh,2021,1,792103,11916
arunachal-pradesh,2021,1,792001,9875
arunachal-pradesh,2021,1,790104,9066
arunachal-pradesh,2021,1,792110,8458
arunachal-pradesh,2021,1,791109,7917
arunachal-pradesh,2021,2,791110,28553
arunachal-pradesh,2021,2,791111,25349
arunachal-pradesh,2021,2,791113,18141
arunachal-pradesh,2021,2,791102,17388
arunachal-pradesh,2021,2,791001,13401
arunachal-pradesh,2021,2,792103,12890
arunachal-pradesh,2021,2,792001,10617
arunachal-pradesh,2021,2,790104,9711
arunachal-pradesh,2021,2,792110,9156
arunachal-pradesh,2021,2,791109,8470
arunachal-pradesh,2021,3,791110,30734
arunachal-pradesh,2021,3,791111,27265
arunachal-pradesh,2021,3,791113,19520
arunachal-pradesh,2021,3,791102,18855
arunachal-pradesh,2021,3,791001,14519
arunachal-pradesh,2021,3,792103,14068
arunachal-pradesh,2021,3,792001,11487
arunachal-pradesh,2021,3,790104,10467
arunachal-pradesh,2021,3,792110,9990
arunachal-pradesh,2021,3,791109,9111
arunachal-pradesh,2021,4,791110,32931
arunachal-pradesh,2021,4,791111,29128
arunachal-pradesh,2021,4,791113,20914
arunachal-pradesh,2021,4,791102,20261
arunachal-pradesh,2021,4,791001,15589
arunachal-pradesh,2021,4,792103,15154
arunachal-pradesh,2021,4,792001,12358
arunachal-pradesh,2021,4,790104,11211
arunachal-pradesh,2021,4,792110,10752
arunachal-pradesh,2021,4,791109,9729
arunachal-pradesh,2022,1,791110,34915
arunachal-pradesh,2022,1,791111,30912
arunachal-pradesh,2022,1,791113,22258
arunachal-pradesh,2022,1,791102,21601
arunachal-pradesh,2022,1,791001,16600
arunachal-pradesh,2022,1,792103,16282
arunachal-pradesh,2022,1,792001,13172
arunachal-pradesh,2022,1,790104,11905
arunachal-pradesh,2022,1,792110,11479
arunachal-pradesh,2022,1,791109,10306
arunachal-pradesh,2022,2,791110,36914
arunachal-pradesh,2022,2,791111,32620
arunachal-pradesh,2022,2,791113,23506
arunachal-pradesh,2022,2,791102,22850
arunachal-pradesh,2022,2,791001,17531
arunachal-pradesh,2022,2,792103,17259
arunachal-pradesh,2022,2,792001,13915
arunachal-pradesh,2022,2,790104,12565
arunachal-pradesh,2022,2,792110,12124
arunachal-pradesh,2022,2,791109,10908
arunachal-pradesh,2022,3,791110,39026
arunachal-pradesh,2022,3,791111,34393
arunachal-pradesh,2022,3,791113,24830
arunachal-pradesh,2022,3,791102,24093
arunachal-pradesh,2022,3,791001,18476
arunachal-pradesh,2022,3,792103,18186
arunachal-pradesh,2022,3,792001,14676
arunachal-pradesh,2022,3,790104,13227
arunachal-pradesh,2022,3,792110,12755
arunachal-pradesh,2022,3,791109,11498
arunachal-pradesh,2022,4,791110,40977
arunachal-pradesh,2022,4,791111,36205
arunachal-pradesh,2022,4,791113,26077
arunachal-pradesh,2022,4,791102,25161
arunachal-pradesh,2022,4,791001,19310
arunachal-pradesh,2022,4,792103,19033
arunachal-pradesh,2022,4,792001,15408
arunachal-pradesh,2022,4,790104,13837
arunachal-pradesh,2022,4,792110,13271
arunachal-pradesh,2022,4,791109,12089
assam,2018,1,781032,7209
assam,2018,1,781001,5507
assam,2018,1,781022,5418
assam,2018,1,781038,4731
assam,2018,1,783380,4571
assam,2018,1,785001,4526
assam,2018,1,781011,4127
assam,2018,1,786001,4122
assam,2018,1,781009,3639
assam,2018,1,781028,3517
assam,2018,2,781032,10189
assam,2018,2,781022,7914
assam,2018,2,781001,7685
assam,2018,2,781038,6711
assam,2018,2,783380,6411
assam,2018,2,785001,6375
assam,2018,2,781011,5954
assam,2018,2,786001,5881
assam,2018,2,781009,5216
assam,2018,2,781028,5010
assam,2018,3,781032,13555
assam,2018,3,781022,10377
assam,2018,3,781001,10057
assam,2018,3,785001,8633
assam,2018,3,781038,8582
assam,2018,3,783380,8312
assam,2018,3,781011,7916
assam,2018,3,786001,7732
assam,2018,3,781028,6759
assam,2018,3,781009,6651
assam,2018,4,781032,17802
assam,2018,4,781022,13976
assam,2018,4,781001,12969
assam,2018,4,781038,11283
assam,2018,4,785001,10937
assam,2018,4,783380,10374
assam,2018,4,781011,10054
assam,2018,4,786001,9765
assam,2018,4,781028,8801
assam,2018,4,781019,8559
assam,2019,1,781032,21003
assam,2019,1,781022,16624
assam,2019,1,781001,15399
assam,2019,1,781038,13630
assam,2019,1,785001,12724
assam,2019,1,783380,12282
assam,2019,1,781011,11982
assam,2019,1,786001,11437
assam,2019,1,781028,10474
assam,2019,1,781019,10045
assam,2019,2,781032,24543
assam,2019,2,781022,19460
assam,2019,2,781001,17922
assam,2019,2,781038,15681
assam,2019,2,783380,14452
assam,2019,2,785001,14373
assam,2019,2,781011,13970
